"﻿""Nombre Cóctel""",Puntuación Diffords,Cristalería (Glass),Ingredientes Originales,Adorno (Garnish),Método (How to make),Coste Estimado,Calorías,Grado Alcohólico (ABV),Historia / Curiosidades,Enlace Original
Bijou Cocktail (inspired by Lawlor's 1895 recipe),Difford’s Guide Discerning Drinkers (120 ratings),Photographed in a Waterford Mixology Coupe Clear,"- 45 ml Hayman's London Dry Gin
- 22.5 ml Grand Marnier or other cognac orange liqueur
- 22.5 ml Strucchi Rosso Vermouth",EXPRESS orange zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,191 kcal,No especificado,"Adapted from the original equal parts gin, Grand Marnier and sweet vermouth recipe in C. F. Lawlor's 1895 book The Mixicologist in which he describes this as ""a delicious drink."" Handily adding, ""Grand Marnier can also be served in a pony-glass like any liqueur."" Remember, Louis-Alexandre Marnier-Lapostolle only created Grand Marnier 15 years earlier and it must have taken a while for the new liqueur to find its way from France to the Grand Hotel in Cincinnati where Lawlor worked, so he was commenting on what was then an exciting new product.",https://www.diffordsguide.com/cocktails/recipe/3656/bijou-cocktail-inspired-by-lawlors-1895-recipe
Copenhagen Cocktail 1939,Difford’s Guide Discerning Drinkers (69 ratings),Photographed in a Bespoke Nick & Nora,"- 22.5 ml Hayman's London Dry Gin
- 22.5 ml Heering Cherry Liqueur
- 22.5 ml Strucchi Rosso Vermouth
- 7.5 ml Lemon juice (freshly squeezed)
- 2 dash Angostura Aromatic Bitters",Garnish with skewered cherry.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,164 kcal,No especificado,"Adapted from a recipe in Axel Sørensen's black, bar notebook ""Lommebogen"" ISBN 978-87-995886-0-2. Axel Sørensen, was a bartender at Café de la Reine in Copenhagen during the late 1930s and his granddaughter inherited his pocketbook containing his cocktail recipes and other notes. Henrik Steen Petersen, from the former ""Moltkes Bar"" in Copenhagen, borrowed this notebook, photographed it and has since published the notebook to make available to all.",https://www.diffordsguide.com/cocktails/recipe/17178/copenhagen-cocktail-1939
Italian Dandy,Difford’s Guide Discerning Drinkers (24 ratings),Serve in a Coupe glass,"- 45 ml Liquore Strega
- 45 ml Strucchi Rosso Vermouth
- 30 ml Ferrand Dry Curaçao
- 2 dash Angostura Aromatic Bitters",EXPRESS orange zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,275 kcal,No especificado,Adapted from a recipe created by Sossio Del Prete.,https://www.diffordsguide.com/cocktails/recipe/4574/italian-dandy
Commedia All'italiana,Difford’s Guide Discerning Drinkers (25 ratings),Serve in an Old-fashioned glass,"- 25 ml Strucchi Red Bitter (Campari-style liqueur)
- 25 ml Aperitivo Luxardo (Aperol-style liqueur)
- 25 ml Strucchi Rosso Vermouth
- 15 ml Nonino Il Moscato Grappa Monovitigno
- 15 ml Luxardo Maraschino liqueur",EXPRESS lemon zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
STRAIN into chilled glass.",No especificado,205 kcal,No especificado,Adapted from a recipe created in 2017 by Seba Atienza in Argentina for Campari.,https://www.diffordsguide.com/cocktails/recipe/4068/commedia-allitaliana
Caffè American Italiano,Difford’s Guide Discerning Drinkers (1 ratings),Photographed in an UB Ginza Old Fashioned 10.5oz,"- 37.5 ml Hayman's London Dry Gin
- 37.5 ml Strucchi Rosso Vermouth chilled
- 10 ml Exprè Caffè Italiano (or freshly made hot Espresso Coffee)",EXPRESS lemon or orange zest twist over cocktail and use as garnish.,"STIR all ingredients with ice.
STRAIN into ice-filled glass (preferably over a large cube or chunk of block ice).",No especificado,145 kcal,No especificado,Sin registro histórico,https://www.diffordsguide.com/cocktails/recipe/37996/caffe-american-italiano
The Burly French Man,Difford’s Guide Discerning Drinkers (4 ratings),Serve in an Old-fashioned glass,"- 5 ml La Fée Parisienne absinthe
- 50 ml Cognac (brandy)
- 20 ml Strucchi Rosso Vermouth
- 20 ml Green Chartreuse (or alternative herbal liqueur)
- 10 ml Damson liqueur
- 1 dash Orange Bitters by Angostura
- 1 dash Angostura Aromatic Bitters",Sin adorno específico,RINSE chilled glass with absinthe and set to one side. STIR other ingredients with ice and strain into absinthe rinsed glass.,No especificado,266 kcal,No especificado,"Created in 2015 by Tommy Long at the Groucho Club in London, England. Originally made with Cocchi Storico Vermouth di Torino rosso vermouth.",https://www.diffordsguide.com/cocktails/recipe/3781/the-burly-french-man
Orange Bloom Martini,Difford’s Guide Discerning Drinkers (64 ratings),Serve in a Martini glass,"- 45 ml Hayman's London Dry Gin
- 22.5 ml De Kuyper Triple Sec (40%)
- 22.5 ml Strucchi Rosso Vermouth",Garnish with maraschino cherry.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,186 kcal,No especificado,"Adapted from the following recipe in Harry Cradock's 1930 The Savoy Cocktail Book.

Martini cocktail and its evolution",https://www.diffordsguide.com/cocktails/recipe/1439/orange-bloom-martini
Army Martini,Difford’s Guide Discerning Drinkers (48 ratings),Photographed in a Speakeasy Martini 5.75oz,"- 75 ml Hayman's London Dry Gin
- 7.5 ml Strucchi Rosso Vermouth
- 7.5 ml Grenadine/pomegranate syrup",Garnish with mint leaf.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,200 kcal,No especificado,See Martini cocktail and its evolution,https://www.diffordsguide.com/cocktails/recipe/2258/army-martini
Martini Special,Difford’s Guide Discerning Drinkers (26 ratings),Serve in a Coupe glass,"- 60 ml Hayman's London Dry Gin
- 22.5 ml Strucchi Rosso Vermouth
- 1.25 ml Orange blossom water / Orange flower water
- 2 dash La Fée Parisienne absinthe
- 1 dash Angostura Aromatic Bitters",EXPRESS orange zest twist over the cocktail and use as garnish.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,169 kcal,No especificado,"Adapted from a recipe in Harry Craddock's 1930 The Savoy Cocktail Book.

Martini cocktail and its evolution",https://www.diffordsguide.com/cocktails/recipe/1266/martini-special
After Midnight Martini,Difford’s Guide Discerning Drinkers (4 ratings),Serve in a Coupe glass,"- 22.5 ml Ketel One Vodka
- 22.5 ml De Kuyper Crème de Cafe
- 22.5 ml Strucchi Rosso Vermouth chilled
- 15 ml Lustau San Emilio Pedro Ximénez Sherry chilled
- 15 ml Egg white (pasteurised) or Vegg White vegan egg white alternative",Garnish with 3 coffee beans floated in a petal formation in the centre of the cocktail's foamy head.,"SHAKE all ingredients with ice and strain back into shaker.
DRY SHAKE (without ice) to emulsify.
FINE STRAIN into chilled glass.",No especificado,177 kcal,No especificado,Sin registro histórico,https://www.diffordsguide.com/cocktails/recipe/37614/after-midnight-martini
Wonky Martini,Difford’s Guide Discerning Drinkers (5 ratings),Serve in a Martini glass,"- 60 ml Vanilla flavoured vodka
- 15 ml Tuaca liqueur
- 22.5 ml Strucchi Rosso Vermouth
- 2 dash Bob's Grapefruit Bitters",Express pink grapefruit zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,208 kcal,No especificado,"Created in 2003 by yours truly, London, England.",https://www.diffordsguide.com/cocktails/recipe/2108/wonky-martini
Raspberry Deluxe Martini,Difford’s Guide Discerning Drinkers (6 ratings),Photographed in a Modern America Martini,"- 8 fresh Raspberries
- 45 ml Ketel One Vodka
- 15 ml Framboise/raspberry eau-de-vie
- 10 ml Strucchi Rosso Vermouth
- 7.5 ml Giffard Crème de Framboise
- 5 ml Pomegranate molasses
- 2 dash Orange Bitters by Angostura",Sin adorno específico,"MUDDLE raspberries in base of shaker.
Add other ingredients.
SHAKE with ice.
FINE STRAIN into chilled glass.",No especificado,No especificadas,No especificado,"Created by yours truly at The Clocktower, Rye, England.",https://www.diffordsguide.com/cocktails/recipe/19263/raspberry-deluxe-martini
Black Coffee Martini,Difford’s Guide Discerning Drinkers (1 ratings),Photographed in a Speakeasy Martini 5.75oz,"- 40 ml Cacao & coffee spiced rum
- 5 ml Crème brulée/caramel syrups
- 5 ml Caramel sugar syrup
- 10 ml Coffee Schnapps liqueur
- 15 ml Strucchi Rosso Vermouth
- 35 ml Exprè Caffè Italiano (or freshly made hot Espresso Coffee)",Garnish with walnut on rim.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,181 kcal,No especificado,"Adapted from a recipe created in 2020 by Nick Tse at Bar Buonasera, Hong Kong.",https://www.diffordsguide.com/cocktails/recipe/5463/black-coffee-martini
Ruby 'Martini' #2,Difford’s Guide Discerning Drinkers (12 ratings),Serve in a Martini glass,"- 45 ml Cognac (brandy)
- 15 ml De Kuyper Triple Sec (40%)
- 15 ml Giffard Crème de Framboise
- 15 ml Strucchi Rosso Vermouth",EXPRESS lemon zest twist over the cocktail and use as garnish.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,213 kcal,No especificado,"Created by Wayne Collins, London, England.",https://www.diffordsguide.com/cocktails/recipe/1708/ruby-martini-2
Americano Branco (Ferroviario),Difford’s Guide Discerning Drinkers (27 ratings),Serve in a Highball (max 10oz/300ml),"- 25 ml Fernet Branca liqueur
- 37.5 ml Strucchi Rosso Vermouth
- 67.5 ml Thomas Henry Soda Water",Sin adorno específico,"Select and pre-chill a HIGHBALL (MAX 10OZ/300ML) GLASS.
Prepare garnish of lemon zest twist.
POUR ingredients into ice-filled glass.
EXPRESS lemon zest twist over the cocktail and use as garnish.",No especificado,112 kcal,No especificado,"In Italy this is called an Americano Branco and it is under this name that it features in Elvezio Grassi's 1936 book Mille Misture. Although an Italian aperitivo, it is perhaps more popular in Argentina, particularly the cantinas and cafés of Buenos Aires where it is called a Ferroviario or sometimes a ""Fernet con Cinzano"".",https://www.diffordsguide.com/cocktails/recipe/30037/americano-branco-ferroviario
Blood and Sand (Classic formula),Difford’s Guide Discerning Drinkers (276 ratings),Serve in a Coupe glass,"- 22.5 ml Blended Scotch whisky
- 22.5 ml Heering Cherry Liqueur
- 22.5 ml Strucchi Rosso Vermouth
- 22.5 ml Orange juice (freshly squeezed)",EXPRESS orange zest twist over the cocktail and use as garnish.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,174 kcal,No especificado,"Created in 1922, this cocktail is named after Rudolph Valentino's Blood & Sand movie.",https://www.diffordsguide.com/cocktails/recipe/244/blood-and-sand-classic-formula
Stanley Tucci's Negroni,Difford’s Guide Discerning Drinkers (20 ratings),Photographed in an Urban Bar Alto Coupe 18cl,"- 45 ml Hayman's London Dry Gin
- 22.5 ml Strucchi Red Bitter (Campari-style liqueur)
- 22.5 ml Carpano Antica Formula Vermouth",Garnish with half orange slice squeezed and dropped into cocktail.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,No especificadas,No especificado,"Adapted from a recipe created by American actor Stanley Tucci, which he shared via a popular video on social media.",https://www.diffordsguide.com/cocktails/recipe/35968/stanley-tuccis-negroni
Tequila Negroni,Difford’s Guide Discerning Drinkers (22 ratings),Photographed in an UB Koto Old Fashioned 30cl,"- 30 ml Patrón Reposado tequila
- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 30 ml Carpano Antica Formula Vermouth",Garnish with orange slice wheel.,"STIR all ingredients with ice.
STRAIN into ice-filled glass (preferably over a large cube or chunk of block ice).",No especificado,185 kcal,No especificado,Sin registro histórico,https://www.diffordsguide.com/cocktails/recipe/32060/tequila-negroni
Capitano,Difford’s Guide Discerning Drinkers (12 ratings),Serve in a Coupe glass,"- 45 ml Strucchi Red Bitter (Campari-style liqueur)
- 45 ml Carpano Antica Formula Vermouth
- 15 ml Lemon juice (freshly squeezed)
- 5 ml Sugar syrup 'rich' (2 sugar to 1 water, 65.0°Brix)",EXPRESS orange zest twist over the cocktail and use as garnish.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,196 kcal,No especificado,Created in 2008 by Bernhard List.,https://www.diffordsguide.com/cocktails/recipe/2331/capitano
Precursory Cocktail,Difford’s Guide Discerning Drinkers (37 ratings),Serve in a Coupe glass,"- 45 ml Cockburn's Tawny Eyes Port
- 45 ml Carpano Antica Formula Vermouth
- 7.5 ml Sugar syrup 'rich' (2 sugar to 1 water, 65.0°Brix)
- 5 ml Lemon juice (freshly squeezed)
- 3 dash Angostura Aromatic Bitters
- 3 dash Orange Bitters by Angostura optional","EXPRESS lemon zest twist over the cocktail and discard.
Garnish with quarter orange slice on rim.","SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,169 kcal,No especificado,"Adapted from a recipe created in 2009 by Tim Philips at Milk & Honey in London, England.",https://www.diffordsguide.com/cocktails/recipe/2835/precursory-cocktail
New Orleans Minute,Difford’s Guide Discerning Drinkers (74 ratings),Serve in a Coupe glass,"- 7.5 ml Del Maguey Vida Clásico Mezcal
- 50 ml Patrón Reposado tequila
- 20 ml Carpano Antica Formula Vermouth
- 15 ml Luxardo Maraschino liqueur
- 5 ml Sugar syrup 'rich' (2 sugar to 1 water, 65.0°Brix)
- 2 dash Orange Bitters by Angostura","Express lemon and orange zest twists over the cocktail and use as garnish.
Garnish with 3 coffee beans floated on the surface to represent health, wealth and happiness.","RINSE glass with mezcal (swirl around to coat and discard excess) and set to one side.
STIR other ingredients with ice.
STRAIN into mezcal rinsed glass.",No especificado,211 kcal,No especificado,Created by Sune Urth at Ruby bar in Copenhagen and adapted from the original New York Minute created by Luke Whearty at Der Raum bar in Melbourne.,https://www.diffordsguide.com/cocktails/recipe/3520/new-orleans-minute
Negroni Flip,Difford’s Guide Discerning Drinkers (20 ratings),Photographed in an UB Retro Coupe Gold 7.75oz,"- 30 ml Hayman's London Dry Gin
- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 30 ml Carpano Antica Formula Vermouth
- 2.5 ml Sugar syrup 'rich' (2 sugar to 1 water, 65.0°Brix)
- 2 drop Saline solution (20g sea salt to 80g water) or merest pinch of s
- 1 whole Egg (white & yolk)",EXPRESS orange zest twist over the cocktail and use as garnish.,"DRY SHAKE all ingredients (without ice) to emulsify.
SHAKE again with ice.
FINE STRAIN into chilled glass.",No especificado,No especificadas,No especificado,Sin registro histórico,https://www.diffordsguide.com/cocktails/recipe/28918/negroni-flip
Game Set Match,Difford’s Guide Discerning Drinkers (95 ratings),Serve in a Coupe glass,"- 50 ml Bourbon whiskey
- 15 ml Carpano Antica Formula Vermouth
- 15 ml Cynar or other carciofo amaro
- 1 dash Angostura Aromatic Bitters
- 1 dash Orange Bitters by Angostura",Garnish with lemon slice skewered with maraschino cherry.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,172 kcal,No especificado,"Created in 2013 by Juan ""J.P."" Caceres-Rojas while working in Washington, D.C..",https://www.diffordsguide.com/cocktails/recipe/3438/game-set-match
Del Famoso (The Famous),Difford’s Guide Discerning Drinkers (90 ratings),Serve in a Coupe glass,"- 45 ml Patrón Silver blanco tequila
- 22.5 ml Fernet Branca liqueur
- 15 ml Carpano Antica Formula Vermouth
- 15 ml Sugar syrup 'rich' (2 sugar to 1 water, 65.0°Brix)
- 2 dash Angostura Aromatic Bitters","Serve naked, without garnish.","STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,223 kcal,No especificado,"Adapted from a recipe created in June 2017 by Nathan Hinze at 99 Hanover Street, Edinburgh, Scotland. The cocktail's name is inspired by the wording on the Fernet Branca label.",https://www.diffordsguide.com/cocktails/recipe/4379/del-famoso-the-famous
Bitter Giuseppe,Difford’s Guide Discerning Drinkers (173 ratings),Photographed in an UB Koto Old Fashioned 30cl,"- 1 swath Lemon peel
- 60 ml Cynar or other carciofo amaro
- 30 ml Carpano Antica Formula Vermouth
- 7.5 ml Lemon juice (freshly squeezed)
- 3 dash Orange Bitters by Angostura",EXPRESS lemon zest twist over the cocktail and use as garnish.,"SQUEEZE the oils from a lemon zest into stirring glass and drop zest in.
Add other ingredients and REGAL STIR with ice.
STRAIN into ice-filled glass (preferably over a large cube or chunk of block ice).",No especificado,No especificadas,No especificado,"Adapted from a recipe created in 2007 by Stephen Cole at The Violet Hour in Chicago, Illinois.",https://www.diffordsguide.com/cocktails/recipe/4856/bitter-giuseppe
Rhubarb Lucca Negroni,Difford’s Guide Discerning Drinkers (41 ratings),Photographed in an Urban Bar Fluet Old Fashioned 1910 34cl,"- 30 ml Hayman's London Dry Gin
- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 15 ml Carpano Antica Formula Vermouth
- 15 ml Rabarbaro liqueur","EXPRESS orange zest twist over cocktail and discard.
Garnish with rhubarb as stirrer.","STIR all ingredients with ice.
STRAIN into ice-filled glass (preferably over a large cube or chunk of block ice).",No especificado,No especificadas,No especificado,"Adapted from a cocktail created in 2011 by Jonathan Abarbanel at Quo Vadis, London, England. Jonathan originally used Rhubarb-infused London dry gin.
See: Negroni cocktail history",https://www.diffordsguide.com/cocktails/recipe/3304/rhubarb-lucca-negroni
Negroni and the Goat,Difford’s Guide Discerning Drinkers (164 ratings),Serve in an Old-fashioned glass,"- 45 ml Hayman's London Dry Gin
- 22.5 ml Aperitivo Luxardo (Aperol-style liqueur)
- 22.5 ml Carpano Antica Formula Vermouth
- 15 ml Amaro (e.g. Averna)",EXPRESS orange zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
STRAIN into ice-filled glass.",No especificado,236 kcal,No especificado,"This riff on a Negroni was originally served straight-up in a coupe and comes from The Girl And The Goat restaurant in Chicago, USA where it was created in 2014.",https://www.diffordsguide.com/cocktails/recipe/3474/negroni-and-the-goat
Munich Negroni Western Style,Difford’s Guide Discerning Drinkers (114 ratings),Serve in an Old-fashioned glass,"- 20 ml Bourbon whiskey
- 20 ml Strucchi Red Bitter (Campari-style liqueur)
- 20 ml Hazelnut liqueur
- 10 ml Carpano Antica Formula Vermouth",Garnish with orange wheel and square of dark chocolate.,"STIR all ingredients with ice.
STRAIN into ice-filled glass.",No especificado,No especificadas,No especificado,"Created in 2015 by Mauro Mahjoub at his Negroni Bar in Munich, Germany.
Negroni cocktail history and recipe variations",https://www.diffordsguide.com/cocktails/recipe/3810/munich-negroni-western-style
Left Hand,Difford’s Guide Discerning Drinkers (126 ratings),Photographed in a Modern America Cocktail,"- 45 ml Bourbon whiskey
- 22.5 ml Strucchi Red Bitter (Campari-style liqueur)
- 22.5 ml Carpano Antica Formula Vermouth
- 4 drop Bob's Chocolate bitters",Garnish with skewered cherry.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,201 kcal,No especificado,"Adapted from a recipe created in 2006 by Sam Ross at Milk & Honey in New York City, USA. Originally made with mole (spiced chocolate) bitters, (indeed this cocktail was first made soon after the release of Bittermens Xocolatl Mole Bitters ), but I prefer with regular chocolate bitters.",https://www.diffordsguide.com/cocktails/recipe/16297/left-hand
Stiletta,Difford’s Guide Discerning Drinkers (18 ratings),Serve in a Coupe glass,"- 1 dried Star anise
- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 45 ml Patrón Silver blanco tequila
- 30 ml Carpano Antica Formula Vermouth",Sin adorno específico,"MUDDLE (smash) a star anise in base of stirring glass. Add other ingredients, STIR with ice and extra fine strain into chilled glass. <b>OR</b> Omit the muddled star anise and instead pre-prepare Star anise-infused Italian red bitter liqueur by infusing 18-20 star anise pods into a 70-75cl bottle. Seal and shake periodically over 8 hours, then strain through a dampened coffee filter or cheesecloth.",No especificado,No especificadas,No especificado,"Adapted from a recipe created in 2015 by Phil Ward at Mayahuel in New York City, USA.",https://www.diffordsguide.com/cocktails/recipe/16618/stiletta
Lucky Luke,Difford’s Guide Discerning Drinkers (7 ratings),Serve in a Coupe glass,"- 60 ml Hayman's London Dry Gin
- 30 ml Carpano Antica Formula Vermouth
- 10 ml Lucano amaro
- 2 dash Angostura Aromatic Bitters",EXPRESS lemon zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,206 kcal,No especificado,Adapted from the Cocktail Lucano by New York bartender Natale Di Noia.,https://www.diffordsguide.com/cocktails/recipe/25781/lucky-luke
Enzo,Difford’s Guide Discerning Drinkers (24 ratings),Photographed in an Urban Bar Freddo Highball,"- 22.5 ml Fernet Branca liqueur
- 22.5 ml Strucchi Red Bitter (Campari-style liqueur)
- 45 ml Carpano Antica Formula Vermouth
- 90 ml Thomas Henry Soda Water chilled",Garnish with orange slice wheel.,"POUR all ingredients into chilled glass.
FILL glass with ice.",No especificado,No especificadas,No especificado,"The origins and creator of this contemporary cocktail are unknown to us, but it is based on a Ferrari shot and named after Enzo Ferrari, the Italian racing driver who founded his own Formula One team and the Ferrari automobile marque.",https://www.diffordsguide.com/cocktails/recipe/35012/enzo
Sharon,Difford’s Guide Discerning Drinkers (22 ratings),Serve in a Coupe glass,"- 45 ml Lustau Manzanilla Papirusa Sherry
- 30 ml Carpano Antica Formula Vermouth
- 22.5 ml Strucchi Red Bitter (Campari-style liqueur)",EXPRESS orange zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,139 kcal,No especificado,"Adapted from a recipe created in 2018 by Tristan Willey at Momofuku Ssäm Bar in New York City, USA.",https://www.diffordsguide.com/cocktails/recipe/10505/sharon
Subourbon,Difford’s Guide Discerning Drinkers (13 ratings),Serve in a Collins glass,"- 2 fresh Blackberries
- 45 ml Bourbon whiskey
- 22.5 ml Carpano Antica Formula Vermouth
- 60 ml Cranberry juice (sweetened)
- 2 dash Angostura Aromatic Bitters",Sin adorno específico,"Select and pre-chill a COLLINS GLASS.
Prepare garnish of blackberries
.
SHAKE all ingredients with ice.
FINE STRAIN into ice-filled glass.",No especificado,No especificadas,No especificado,"Adapted from a drink created in 2010 by David Steenkamp at Jamie Oliver’s Barbecoa, London, England. Originally also with a dash of crème de mûre (blackberry) liqueur so sweeter and fruitier.",https://www.diffordsguide.com/cocktails/recipe/3046/subourbon
Eastern Promises,Difford’s Guide Discerning Drinkers (35 ratings),Serve in a Coupe glass,"- 60 ml Light white rum (charcoal-filtered 1-4 years old)
- 15 ml Strucchi Rosso Vermouth
- 30 ml Orange juice (freshly squeezed)
- 10 ml Lime juice (freshly squeezed)
- 10 ml Sugar syrup 'rich' (2 sugar to 1 water, 65.0°Brix)
- 2 dash Peychaud's or other Creole-style bitters",EXPRESS orange zest twist over the cocktail and use as garnish.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,196 kcal,No especificado,"Created in 2011 by Simone Caporale at Artesian at the Langham Hotel in London, England.",https://www.diffordsguide.com/cocktails/recipe/3275/eastern-promises
Behemoth,Difford’s Guide Discerning Drinkers (18 ratings),Serve in a Coupe glass,"- 25 ml Bourbon whiskey
- 25 ml Strucchi Rosso Vermouth
- 20 ml Straight rye whiskey (100 proof /50% alc./vol.)
- 20 ml De Kuyper White Crème de Cacao
- 10 ml Lemon juice (freshly squeezed) optional
- 10 ml Maple syrup optional
- 15 ml Egg white (pasteurised) or Vegg White vegan egg white alternative
- 2 dash Peychaud's or other Creole-style bitters",Sin adorno específico,"SHAKE all ingredients with ice and strain back into shaker.
DRY SHAKE (without ice).
FINE STRAIN into chilled glass.",No especificado,247 kcal,No especificado,This 'monstrous beast' was created in 2004 by yours truly and 'improved' in December 2021.,https://www.diffordsguide.com/cocktails/recipe/198/behemoth
Artillery,Difford’s Guide Discerning Drinkers (156 ratings),Serve in a Coupe glass,"- 50 ml Hayman's London Dry Gin
- 25 ml Strucchi Rosso Vermouth
- 1 dash Angostura Aromatic Bitters",Garnish with skewered cherry.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,148 kcal,No especificado,Adapted from a recipe in Harry Craddock's 1930 The Savoy Cocktail Book.,https://www.diffordsguide.com/cocktails/recipe/11248/artillery
Negronic,Difford’s Guide Discerning Drinkers (67 ratings),Serve in an Old-fashioned glass,"- 30 ml Hayman's London Dry Gin
- 30 ml Strucchi Rosso Vermouth
- 30 ml Thomas Henry Tonic Water",Sin adorno específico,POUR ingredients into ice-filed glass (preferably over a large cube or chunk of block ice) and briefly stir to combine.,No especificado,124 kcal,No especificado,"Adapted from a recipe created in September 2022 by Mary Kate Murray while visiting her parents on Long Beach Island in New Jersey, USA.",https://www.diffordsguide.com/cocktails/recipe/16514/negronic
Milano Torino (Mi-To),Difford’s Guide Discerning Drinkers (160 ratings),Photographed in a Nude Bar/Giani Old Fashioned Cocktail Glass,"- 45 ml Strucchi Red Bitter (Campari-style liqueur)
- 45 ml Strucchi Rosso Vermouth",Garnish with orange slice or wedge.,"STIR all ingredients with ice.
STRAIN into ice-filled glass (preferably a large cube or chunk of block ice).",No especificado,175 kcal,No especificado,"Created in the 1860s by Gaspare Campari at his Caffè Campari, on Milan's Piazza del Duomo and named after the origins of its two ingredients: Campari from Milan and rosso vermouth, traditionally from Turin. It is said that later, soda water was added to the Milano-Torino to create the Americano. The Milano-Torino also morphed into the Negroni with gin added.",https://www.diffordsguide.com/cocktails/recipe/3495/milano-torino-mi-to
Father's Advice,Discerning Drinkers (4 ratings),Serve in a Coupe glass,"- 45 ml Havana Club Original Añejo 3 Años Cuban rum
- 15 ml Punt E Mes vermouth amaro
- 15 ml Vermouth amaro - medium (e.g. Cocchi Vermouth Amaro)
- 15 ml Lustau Amontillado Los Arcos Sherry
- 7.5 ml Giffard Banane du Brésil liqueur",Sin adorno específico,SHAKE all ingredients and fine strain into chilled glass.,No especificado,194 kcal,No especificado,"USA Bacardí Legacy 2015 winning cocktail by Ran Duan, The Baldwin Bar, Sichuan Garden, Woburn, MA.",https://www.diffordsguide.com/cocktails/recipe/3933/fathers-advice
L'Americano,Difford’s Guide Discerning Drinkers (3 ratings),Serve in a Highball (max 10oz/300ml),"- 50 ml Savoia Americano Rosso
- 50 ml Thomas Henry Soda Water",Sin adorno específico,"Select and pre-chill a HIGHBALL (MAX 10OZ/300ML) GLASS.
Prepare garnish of 3 skewered fresh grapes.
POUR all ingredients into ice-filled glass.
Briefly STIR.",No especificado,No especificadas,No especificado,A signature cocktail developed in 2021 by Savoia Americano.,https://www.diffordsguide.com/cocktails/recipe/10630/lamericano
L' Italo Americano,Difford’s Guide Discerning Drinkers (4 ratings),Serve in a Highball (max 10oz/300ml),"- 45 ml Italicus liqueur
- 45 ml Savoia Americano Rosso
- 45 ml Thomas Henry Pink Grapefruit soda
- 6 drop Bob's Grapefruit Bitters",Sin adorno específico,POUR all ingredients into chilled glass and the add ice to fill.,No especificado,204 kcal,No especificado,Adapted (I added the grapefruit bitters) from a recipe created in 2023 by our friends at Ital Spirits for the USA launch of Savoia Americano Rosso.,https://www.diffordsguide.com/cocktails/recipe/19654/l-italo-americano
Pink Americano,Difford’s Guide Discerning Drinkers (59 ratings),Serve in a Collins glass,"- 30 ml Strucchi Rosso Vermouth
- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- Top up with Thomas Henry Pink Grapefruit soda",EXPRESS grapefruit zest twist over cocktail and use as garnish.,"POUR all ingredients into ice-filled glass.
Lightly stir.",No especificado,117 kcal,No especificado,"Created in 2015 by George Tsirikos, Athens, Greece.",https://www.diffordsguide.com/cocktails/recipe/3931/pink-americano
Fig Leaf Americano,Difford’s Guide Discerning Drinkers (2 ratings),Serve in a Collins glass,"- 30 ml Strucchi Rosso Vermouth
- 25 ml Strucchi Red Bitter (Campari-style liqueur)
- 120 ml Fig Leaf Soda chilled",Garnish with fig slice on rim.,"POUR all ingredients into chilled glass.
FILL glass with ice.",No especificado,152 kcal,No especificado,Sin registro histórico,https://www.diffordsguide.com/cocktails/recipe/32311/fig-leaf-americano
